,Attr1,Attr2,Attr3,Attr6,Attr9,Attr12,Attr13,Attr17,Attr19,Attr21,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr30,Attr34,Attr35,Attr36,Attr38,Attr39,Attr40,Attr41,Attr45,Attr46,Attr48,Attr49,Attr50,Attr52,Attr53,Attr54,Attr56,Attr57,Attr59,class
0,0.20055,0.37951,0.39641,0.38825,1.1389,0.6598,0.1666,2.6349,0.14942,1.2479,0.11998,0.47706,0.50494,0.60411,1.4582,1.7615,0.11788,0.56393,0.21402,1.741,0.50591,0.12804,0.66295,0.051402,1.0097,1.5225,0.1853,0.11085,2.042,0.25792,2.2437,2.248,0.12196,0.39718,0.001924,0
8,0.00902,0.63202,0.053735,0.0,1.3332,0.033921,0.038938,1.5822,0.010827,1.0752,0.006766,0.000222,0.34828,0.073572,1.0714,0.10319,0.47405,1.7697,0.24013,1.3332,0.49344,0.18011,0.072677,0.30865,0.06743,0.81192,-0.006701,-0.005026,0.75832,0.38046,0.70666,0.9476,0.18011,0.024512,0.34094,0
12,0.26669,0.34994,0.61147,0.55983,1.1268,1.0993,0.12047,2.8577,0.11496,1.0581,0.092322,0.51586,0.65006,0.80759,1.1885,0.25904499999999997,0.088635,0.87075,0.30471,2.9161,0.69793,0.10548,0.32525,0.035883,0.88253,2.0239,0.28879,0.099972,2.6106,0.11783,7.5192,8.0728,0.1125,0.41025,0.07363,0
13,0.067731,0.19885,0.081562,0.21265,1.257,1.8736,0.31036,5.029,0.30912,1.1848,0.2682,0.24604,0.80115,0.3422,2.6744,0.093025,0.7807,0.27021,0.05373,0.27897,0.95834,0.21276,0.048375,0.12097,2.2025,2.2195,0.053417,0.21152,0.61971,0.20738,0.91375,1.093,0.20444,0.084542,0.19619,0
14,-0.029182,0.21131,0.45264,0.010387,1.0241,-0.50333,0.004191,4.7324,-0.043861,0.99083,-0.036936,0.016014,0.78869,0.041561,-0.65622,0.94595,0.11935,-0.23957,-0.050624,0.80603,0.93115,-0.064076,0.108595,-0.54879,-0.12797,4.2624,-0.088588,-0.11213,2.4679,0.089246,1.6482,1.946,0.023565,-0.037001,0.18063,0
17,0.028084,0.24231,0.43224,0.021598,1.0125,0.185,0.04419,4.127,0.021027,0.78628,0.014863,0.03447,0.75206,0.29652,0.29448,1.2244,-0.033048,0.22679,0.054953,1.9341,0.77962,0.029084,1.4286,0.080697,0.14973,2.1394,0.011187,0.005921,2.6701,0.11508,2.1304,2.2085,0.012367,0.037342,0.036647,0
25,0.079997,0.23967,0.32124,0.20743,1.0556,0.31987,0.067313,4.1724,0.039805,1.1151,0.045676,0.2369,0.61034,0.53479,0.51182,0.69713,0.089541,0.3543,0.084917,1.7847,0.63206,0.048485,0.3826,0.059204,0.28127,1.169,0.03674,0.020977,2.2497,0.13137,1.3245,1.3716,0.052697,0.13107,0.035588,0
29,-0.35884,1.1171,-0.46577,-1.1752,0.97154,-0.41514,-0.19052,0.89517,-0.22455,1.0345,-0.22455,-0.82224,-0.12518,-0.27255,-1.1648,-0.77447,0.66588,-0.17151,-0.1916,1.6321,0.12756,-0.11989,0.094543,-0.26764,-2.0159,0.25521,-0.24597,-0.15392,0.35682,0.5255,-0.20815,0.2121,-0.029298,0.15307,-2.019,0
30,0.10248,0.28993,0.07732,0.22034,1.0805,0.4909,0.10245,3.4491,0.081028,2.3868,0.065225,0.27078,0.60739,0.46954,0.91705,0.11656,0.17917,0.45993,0.13335,1.5958,0.63799,0.08487,0.082504,0.057078,1.3507,1.0056,0.099694,0.063452,1.1612,0.17835,0.91566,0.96177,0.074523,0.16872,0.050368,0
31,0.1409,0.7556,0.33886,0.36762,1.0508,0.26562,0.058424,1.3234,0.054902,1.3822,0.054902,0.36762,0.2444,0.19844,0.49454,0.25904499999999997,0.24428,0.15986,0.12079,2.6197,0.46952,0.047064,0.24451,0.19135,0.34132,0.86058,0.11175,0.043543,1.1505,0.21719,1.8704,3.5933,0.048331,0.57654,0.92116,0
33,0.001222,0.53108,0.2013,0.042436,0.99091,0.007405,0.033226,1.883,0.001807,1.0293,0.000805,0.056723,0.46393,0.092145,-0.047783,0.47025,0.32395,-0.013789,-0.007323,1.5498,0.62437,-0.004822,0.14504,0.43228,0.003291,0.541,-0.055037,-0.036241,1.0769,0.24184,1.0838,1.4586,-0.009171,0.002635,0.34583,0
34,0.013079,0.75841,-0.060128,0.069955,0.99307,0.019544,0.015526,1.3186,0.004897,1.2765,0.005208,0.083487,0.22721,0.05244,-0.073544,-0.13954,0.29704,-0.024522,-0.018598,2.5558,0.35639,-0.007406,0.022714,0.10873,0.038276,0.36138,-0.04529,-0.018034,0.75038,0.24882,0.52728,0.82708,-0.006983,0.057565,0.56857,0
35,0.099873,0.57415,0.1756,0.30824,1.0754,0.21423,0.094556,1.7417,0.077616,1.1377,0.065299,0.37667,0.3956,0.21907,0.72869,0.64973,0.35053,0.18051,0.10364,1.5671,0.41561,0.067762,0.25778,0.14571,1.3202,1.1804,0.07773,0.050822,1.271,0.38962,1.4638,1.5378,0.07009,0.25246,0.050582,0
