model,threshold,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fold
gnb,0.060000000000000005,0.9477543538038496,0.7302073515551366,0.2631578947368421,0.5,0.3448275862068966,0.33835282451000503,0.882579327678291,0.25065108518062573,1019,42,15,15,1
dnn,0.5800000000000001,0.9110907424381302,0.7761388627081369,0.18095238095238095,0.6333333333333333,0.2814814814814815,0.30622647827111077,0.8982092365692743,0.38789393120110793,975,86,11,19,1
ensemble,0.7000000000000001,0.9615032080659945,0.6886899151743638,0.3333333333333333,0.4,0.36363636363636365,0.3454773057336174,0.9038328620797988,0.38368963332214123,1037,24,18,12,1
ensemble@0.50,0.5,0.9495875343721356,0.7149544454916745,0.2641509433962264,0.4666666666666667,0.3373493975903614,0.3270078171609793,0.9038328620797988,0.38368963332214123,1022,39,16,14,1
gnb,0.91,0.9367552703941339,0.7952221545952526,0.2564102564102564,0.6451612903225806,0.3669724770642202,0.38076822254596004,0.9362446743761412,0.23086813435414144,1002,58,11,20,2
dnn,0.92,0.9605866177818515,0.7761716372489349,0.375,0.5806451612903226,0.45569620253164556,0.4474866433134273,0.9413268411442484,0.333128718658069,1030,30,13,18,2
ensemble,0.9500000000000001,0.9615032080659945,0.7766433353621425,0.3829787234042553,0.5806451612903226,0.46153846153846156,0.4527774705639559,0.9388314059646987,0.3316205260053769,1031,29,13,18,2
ensemble@0.50,0.5,0.9101741521539871,0.8128575776019477,0.1981981981981982,0.7096774193548387,0.30985915492957744,0.3439029698570196,0.9388314059646987,0.3316205260053769,971,89,9,22,2
gnb,0.04,0.9495875343721356,0.8174832623250152,0.3181818181818182,0.6774193548387096,0.4329896907216495,0.44253814291572385,0.935483870967742,0.35105325864753967,1015,45,10,21,3
dnn,0.9400000000000001,0.9633363886342805,0.6993000608642727,0.37142857142857144,0.41935483870967744,0.3939393939393939,0.3758419262511192,0.8924223980523432,0.3241369557277929,1038,22,18,13,3
ensemble,0.92,0.9706691109074244,0.6717589774802191,0.4782608695652174,0.3548387096774194,0.4074074074074074,0.39731382476043703,0.9437918441874619,0.3946390958050443,1048,12,20,11,3
ensemble@0.50,0.5,0.9596700274977086,0.8226719415702982,0.38181818181818183,0.6774193548387096,0.4883720930232558,0.4900763614448519,0.9437918441874619,0.3946390958050443,1026,34,10,21,3
gnb,0.99,0.9358386801099908,0.810407790626902,0.25925925925925924,0.6774193548387096,0.375,0.39345329940052953,0.8720632988435788,0.2707638256191068,1000,60,10,21,4
dnn,0.9,0.9587534372135655,0.7752282410225197,0.36,0.5806451612903226,0.4444444444444444,0.43736739386772866,0.8946135118685332,0.3833317273394765,1028,32,13,18,4
ensemble,0.9500000000000001,0.9596700274977086,0.7600426049908704,0.3617021276595745,0.5483870967741935,0.4358974358974359,0.42560733578670074,0.9005782105903833,0.3907301477396629,1030,30,14,17,4
ensemble@0.50,0.5,0.8964252978918423,0.8214394400486914,0.1796875,0.7419354838709677,0.2893081761006289,0.3319287035638158,0.9005782105903833,0.3907301477396629,955,105,8,23,4
gnb,0.01,0.9477543538038496,0.6599665246500304,0.22916666666666666,0.3548387096774194,0.27848101265822783,0.2591970843611053,0.9045952525867316,0.23954570708111653,1023,37,20,11,5
dnn,0.68,0.9605866177818515,0.69788496652465,0.34210526315789475,0.41935483870967744,0.37681159420289856,0.3586498000765795,0.7826536822884966,0.28003899283356787,1035,25,18,13,5
ensemble,0.45,0.9486709440879927,0.6917528910529519,0.2549019607843137,0.41935483870967744,0.3170731707317073,0.30185886728073236,0.8548995739500913,0.28655919618517905,1022,38,18,13,5
ensemble@0.50,0.5,0.9523373052245646,0.6623250152160682,0.2558139534883721,0.3548387096774194,0.2972972972972973,0.27722625510073223,0.8548995739500913,0.28655919618517905,1028,32,20,11,5
